"","X","FISHSET_ID","SET_NO","TRIP","DATE_TIME3","SOAKMINP3P1","DEPTH","LATITUDE","LONGITUDE","YEAR","STATION","STRATUM_ID","NAFAREA_ID","Vess_fact","NUM_HOOK_HAUL","total_other_species","total_target_species","broken_hook","empty_baited","empty_unbaited","other_species","target_species","missing_hook","total_sampled","avg_weight"
"20",20,100290644,47,"J17-0204B","2017-06-28 23:40:00",915,74.5,43.88217,-51.033,2017,634,"H51","3OE",70,1000,490,0,0,112,83,75,0,0,270,NA
"21",21,100290650,1,"J17-0226","2017-06-24 16:01:00",471,87.5,45.79417,-59.89217,2017,558,"H31","4VN",67,973,0,1,1,41,257,0,1,0,300,27
"22",22,100290654,5,"J17-0226","2017-06-25 19:15:00",517,423,46.66217,-58.684,2017,574,"H33","4VN",67,994,11,2,3,63,227,7,0,0,300,24
"23",23,100290655,6,"J17-0226","2017-06-25 21:46:00",610,431.75,46.753,-58.78283,2017,573,"H33","4VN",67,964,12,0,3,38,257,2,0,0,300,NA
"24",24,100290659,10,"J17-0226","2017-06-28 14:59:00",412,59,44.57417,-63.13667,2017,536,"H21","4WK",67,976,0,0,8,282,10,0,0,0,300,NA
"25",25,100290664,15,"J17-0226","2017-06-29 16:16:00",419,153.5,44.12333,-63.4955,2017,517,"H12","4XM",67,979,78,1,7,15,255,22,1,0,300,8
"26",26,100290678,1,"J17-0265","2017-06-13 14:11:00",370,42.5,43.778,-64.78967,2017,504,"H11","4XO",76,985,11,6,0,257,37,5,1,0,300,23.3333333333333
"27",27,100290682,5,"J17-0265","2017-06-14 14:00:00",360,136,43.342,-65.1785,2017,505,"H11","4XO",76,985,6,13,0,202,93,0,5,0,300,9.84615384615385
"28",28,100290684,7,"J17-0265","2017-06-14 17:56:00",413,61.5,43.25467,-65.49417,2017,506,"H11","4XO",76,985,19,0,0,275,17,8,0,0,300,NA
"29",29,100290687,10,"J17-0265","2017-06-16 14:39:00",360,149,42.4685,-65.9375,2017,526,"H12","4XP",76,985,52,0,0,3,280,17,0,0,300,NA
"30",30,100290689,12,"J17-0265","2017-06-16 20:12:00",599,93,42.45283,-65.69833,2017,511,"H11","4XP",76,985,56,28,1,3,253,34,9,0,300,10.1071428571429
"31",31,100290694,4,"J17-0267","2017-06-16 20:30:00",608,99,43.18833,-62.357,2017,540,"H21","4WL",46,1000,77,1,1,14,278,6,1,0,300,9
"32",32,100290695,5,"J17-0267","2017-06-17 15:30:00",401,90.75,43.37617,-62.30417,2017,539,"H21","4WL",46,1000,61,1,3,4,291,2,0,0,300,8
"33",33,100290696,1,"J17-0268","2017-06-19 15:44:00",464,140.25,42.86483,-66.11233,2017,524,"H12","4XO",49,1000,332,1,0,8,194,98,0,0,300,5
"34",34,100290697,2,"J17-0268","2017-06-19 19:32:00",535,84.5,42.75433,-65.919,2017,510,"H11","4XP",49,1000,125,6,0,57,201,40,2,0,300,10.8333333333333
"35",35,100290698,3,"J17-0268","2017-06-19 23:13:00",680,112.75,42.78583,-65.79917,2017,509,"H11","4XP",49,1000,50,41,2,57,215,14,12,0,300,13.3658536585366
"36",36,100290699,4,"J17-0268","2017-06-20 16:02:00",448,89.25,43.1025,-65.751,2017,508,"H11","4XO",49,1000,115,26,2,69,162,50,17,0,300,6.88461538461539
"37",37,100291826,7,"J17-0260","2017-06-20 19:25:00",502,111,45.02567,-54.33317,2017,644,"H51","3OA",74,1000,387,36,0,89,123,80,8,0,300,10.4722222222222
"38",38,100291830,11,"J17-0260","2017-06-22 15:05:00",424,90.5,44.87283,-53.44733,2017,641,"H51","3OC",74,1000,743,6,0,257,15,26,2,0,300,20
"39",39,100291831,12,"J17-0260","2017-06-22 18:35:00",540,93,44.82167,-53.18383,2017,639,"H51","3OC",74,1000,825,12,0,172,20,103,5,0,300,14.6666666666667
"40",40,100291832,13,"J17-0260","2017-06-22 22:16:00",660,86,44.9025,-52.9075,2017,633,"H51","3OD",74,1000,254,6,0,258,13,28,1,0,300,23.1666666666667
"41",41,100291837,18,"J17-0260","2017-06-24 17:05:00",489,89,44.40533,-52.421,2017,640,"H51","3OD",74,1000,115,16,0,251,14,28,7,0,300,12.125
"42",42,100291841,22,"J17-0260","2017-06-25 21:00:00",695,159,43.62683,-52.02983,2017,647,"H52","3OE",74,1000,277,1,1,111,136,52,0,0,300,4
"43",43,100292051,4,"J17-0262","2017-06-13 21:46:00",526,172.5,44.17867,-63.055,2017,548,"H22","4WM",56,1000,69,2,4,12,258,26,0,0,300,8
"44",44,100292055,8,"J17-0262","2017-06-14 22:45:00",570,154,44.665,-61.69633,2017,547,"H22","4WK",56,1000,40,5,7,5,279,8,1,0,300,5
"45",45,100292056,9,"J17-0262","2017-06-16 16:22:00",425,85.5,45.2,-57.732,2017,555,"H31","4VC",56,990,4,1,0,251,47,2,0,0,300,3
"46",46,100292058,11,"J17-0262","2017-06-16 19:45:00",555,304.5,45.2135,-57.61833,2017,577,"H33","4VC",56,1000,20,2,0,66,227,6,1,0,300,10.5
"47",47,100292059,12,"J17-0262","2017-06-17 16:20:00",410,56,44.7345,-57.48833,2017,560,"H31","4VC",56,1000,44,0,2,230,56,12,0,0,300,NA
"48",48,100292060,13,"J17-0262","2017-06-17 19:07:00",508,60.5,44.63367,-57.436,2017,561,"H31","4VC",56,1000,120,0,0,173,100,27,0,0,300,NA
"49",49,100292062,15,"J17-0262","2017-06-18 17:25:00",397,43,44.59,-57.8985,2017,562,"H31","4VC",56,1000,275,24,0,142,77,67,14,0,300,11
"50",50,100292063,16,"J17-0262","2017-06-19 18:00:00",525,128,44.94983,-58.05817,2017,559,"H31","4VC",56,1000,56,10,4,211,63,21,1,0,300,9.1
"51",51,100292064,17,"J17-0262","2017-06-19 21:45:00",603,47.25,44.99417,-57.68167,2017,557,"H31","4VC",56,1000,113,8,0,137,78,50,5,0,270,24.25
"52",52,100292069,1,"J17-0266","2017-06-14 18:01:00",381,364.5,42.42617,-67.17183,2017,529,"H13","4XP",77,997,14,0,4,0,290,6,0,0,300,NA
"53",53,100292070,2,"J17-0266","2017-06-14 22:40:00",512,346.75,42.40167,-66.771,2017,528,"H13","4XP",77,993,29,0,2,0,283,15,0,0,300,NA
"54",54,100292071,3,"J17-0266","2017-06-15 16:52:00",423,129.5,41.4635,-66.06333,2017,516,"H11","5ZM",77,998,20,4,0,2,277,20,1,0,300,14.25
"55",55,100292072,4,"J17-0266","2017-06-15 20:09:00",548,129,41.45683,-66.03517,2017,527,"H12","5ZM",77,980,20,3,0,3,292,3,2,0,300,19
"56",56,100292073,5,"J17-0266","2017-06-16 16:00:00",453,82,42.0365,-66.31783,2017,514,"H11","5ZJ",77,997,245,14,1,19,213,57,10,0,300,21.8571428571429
"57",57,100292074,6,"J17-0266","2017-06-16 21:00:00",652,88.5,41.9635,-66.19717,2017,513,"H11","5ZJ",77,998,84,8,0,12,255,31,2,0,300,27.375
"58",58,100292076,8,"J17-0266","2017-06-17 16:01:00",391,87,41.97733,-66.71933,2017,515,"H11","5ZM",77,997,314,6,1,7,251,40,1,0,300,42.3333333333333
"59",59,100292078,10,"J17-0266","2017-06-18 21:54:00",608,127.5,42.1715,-65.54417,2017,512,"H11","4XP",77,798,41,1,33,30,200,37,0,0,300,2
"60",60,100292084,4,"J17-0269","2017-06-27 14:44:00",397,214,43.411,-63.81,2017,520,"H12","4XN",48,1000,72,0,0,59,223,18,0,0,300,NA
"61",61,100292088,8,"J17-0269","2017-06-28 22:50:00",703,213.25,43.45767,-63.72117,2017,519,"H12","4XN",48,1000,58,0,1,39,243,17,0,0,300,NA
"62",62,100292089,9,"J17-0269","2017-06-29 14:44:00",403,144.75,43.97917,-64.00167,2017,518,"H12","4XM",48,1000,106,8,1,9,245,41,4,0,300,5.75
"63",63,100292091,1,"J17-0273","2017-07-04 14:45:00",396,102.75,43.34217,-67.36833,2017,523,"H12","4XQ",49,992,197,1,0,8,14,8,0,0,30,50
"64",64,100292092,2,"J17-0273","2017-07-04 18:00:00",513,103.25,43.23217,-67.31183,2017,525,"H12","4XQ",49,991,194,0,1,0,15,14,0,0,30,NA
"65",65,100292093,3,"J17-0273","2017-07-05 14:35:00",394,106.5,43.72267,-67.0295,2017,522,"H12","4XQ",49,993,124,0,1,8,221,70,0,0,300,NA
"66",66,100292097,7,"J17-0273","2017-07-06 14:39:00",396,205.75,44.34383,-66.57133,2017,521,"H12","4XR",49,995,84,2,0,11,254,34,1,0,300,22
"67",67,100292110,1,"J17-0275","2017-07-12 18:47:00",628,76.25,45.14717,-65.0795,2017,503,"H11","4XR",49,998,72,25,1,103,159,31,6,0,300,14.48
"68",68,100292111,2,"J17-0275","2017-07-12 21:37:00",584,40.75,45.45167,-65.002,2017,501,"H11","4XR",49,999,47,0,1,32,229,38,0,0,300,NA
"69",69,100292112,3,"J17-0275","2017-07-13 02:45:00",727,48.25,45.22783,-64.71117,2017,502,"H11","4XR",49,996,50,0,3,15,245,37,0,0,300,NA
"70",70,100292121,5,"J17-0261","2017-06-20 17:00:00",430,487,43.32167,-60.60317,2017,552,"H23","4WG",41,1000,84,3,4,76,206,12,2,0,300,28.6666666666667
"71",71,100292125,9,"J17-0261","2017-06-22 15:30:00",410,109,43.36317,-60.98217,2017,537,"H21","4WJ",41,1000,3,4,0,24,265,8,3,0,300,7
"72",72,100292127,11,"J17-0261","2017-06-23 16:10:00",430,51.5,43.70867,-60.89917,2017,535,"H21","4WF",41,925,1193,4,0,132,159,7,2,0,300,21
"73",73,100292130,1,"J17-0271A","2017-07-03 14:48:00",408,87.25,43.32767,-61.74133,2017,538,"H21","4WJ",81,1002,25,0,0,129,248,13,0,0,390,NA
"74",74,100292137,8,"J17-0271A","2017-07-06 15:37:00",410,88,44.38567,-61.16033,2017,534,"H21","4WE",81,1006,1,13,0,76,310,0,4,0,390,14.5384615384615
"75",75,100292140,1,"J17-0271B","2017-07-09 14:53:00",413,140.25,45.2955,-60.09717,2017,545,"H22","4WD",81,1002,20,1,3,293,88,6,0,0,390,18
"76",76,100292141,2,"J17-0271B","2017-07-10 14:49:00",409,137.75,45.57117,-59.23283,2017,566,"H32","4VB",81,1000,1,3,0,271,27,0,2,0,300,21.3333333333333
"77",77,100292142,3,"J17-0271B","2017-07-11 14:48:00",405,95.25,45.50067,-58.557,2017,556,"H31","4VB",81,1000,1,0,0,259,41,0,0,0,300,NA
"78",78,100292143,4,"J17-0271B","2017-07-12 14:42:00",402,95.75,44.89933,-59.3415,2017,568,"H32","4VC",81,1000,3,1,0,261,38,0,1,0,300,29
"79",79,100292144,5,"J17-0271B","2017-07-13 14:40:00",400,167.25,44.8085,-59.78867,2017,563,"H31","4VC",81,1000,4,10,0,269,25,1,5,0,300,20.7
"80",80,100292145,6,"J17-0271B","2017-07-14 15:47:00",467,121.75,44.94917,-60.34167,2017,530,"H21","4WD",81,1006,2,0,1,303,85,1,0,0,390,NA
"81",81,100292146,7,"J17-0271B","2017-07-14 22:08:00",619,156,45.036,-60.8485,2017,546,"H22","4WD",81,1002,4,13,0,316,69,2,3,0,390,16
"82",82,100292147,1,"J17-0272","2017-07-04 17:10:00",400,73.5,44.46933,-59.19783,2017,564,"H31","4VC",56,1000,0,2,2,252,45,0,1,0,300,25
"83",83,100292156,10,"J17-0272","2017-07-06 19:35:00",500,154.5,44.27367,-59.7495,2017,569,"H32","4VC",56,1000,0,7,3,218,78,0,1,0,300,12.8571428571429
"84",84,100292164,18,"J17-0272","2017-07-08 16:20:00",395,122,44.41883,-60.19233,2017,533,"H21","4WE",56,1000,0,6,5,234,60,0,1,0,300,22.8333333333333
"85",85,100292165,19,"J17-0272","2017-07-08 18:38:00",458,147,44.50083,-60.17783,2017,531,"H21","4WE",56,1000,0,5,1,279,19,0,1,0,300,9
"86",86,100292166,20,"J17-0272","2017-07-08 22:50:00",545,37.75,44.53467,-60.4385,2017,532,"H21","4WE",56,1000,0,1,3,290,7,0,0,0,300,11
"87",87,100292167,1,"J17-0300","2017-07-17 15:13:00",433,216,43.55133,-63.32583,2017,550,"H22","4WL",46,996,10,0,2,48,243,7,0,0,300,NA
"88",88,100292169,3,"J17-0300","2017-07-18 15:57:00",391,130.5,43.32,-63.1085,2017,541,"H21","4WL",46,999,220,2,1,10,220,67,2,0,300,14
"89",89,100292170,4,"J17-0300","2017-07-18 19:43:00",553,144.75,43.19167,-63.1705,2017,551,"H22","4WL",46,998,61,3,0,11,248,39,2,0,300,11
"90",90,100292171,5,"J17-0300","2017-07-19 15:16:00",421,106.75,43.17583,-62.77367,2017,542,"H21","4WL",46,994,169,5,0,11,230,55,4,0,300,19.4
"91",91,100292172,6,"J17-0300","2017-07-19 18:50:00",599,111.25,43.14117,-62.74283,2017,543,"H21","4WL",46,999,68,8,1,24,243,30,2,0,300,8.5
"92",92,100292173,7,"J17-0300","2017-07-20 14:36:00",395,122.25,43.00417,-62.788,2017,544,"H21","4WL",46,998,75,4,2,24,225,47,2,0,300,7.5
"93",93,100292570,1,"J17-0270","2017-07-02 16:05:00",485,273,43.77467,-62.959,2017,553,"H23","4WL",41,976,58,1,4,91,169,36,0,0,300,15
"94",94,100292571,2,"J17-0270","2017-07-02 20:15:00",620,161.75,43.64167,-62.912,2017,549,"H22","4WL",41,1000,32,0,0,43,231,26,0,0,300,NA
"95",95,100292600,8,"J17-0274","2017-07-20 19:47:00",386,75,44.72767,-52.18767,2017,629,"H51","3OD",74,1000,152,5,0,238,13,48,1,0,300,15.8
"96",96,100292610,18,"J17-0274","2017-07-22 21:15:00",400,71,44.63883,-51.38883,2017,625,"H51","3OD",74,1000,115,5,0,272,7,21,0,0,300,31.8
"97",97,100293079,3,"J17-0202C","2017-06-27 22:10:00",610,143.25,46.72033,-60.15367,2017,565,"H32","4VN",6,1000,7,26,16,52,227,1,4,0,300,7.80769230769231
"98",98,100293081,2,"J17-0202D","2017-06-30 17:30:00",405,347.5,47.4235,-60.2045,2017,571,"H33","4VN",6,1000,18,0,7,48,243,2,0,0,300,NA
"99",99,100293082,3,"J17-0202D","2017-06-30 22:05:00",575,333.75,47.3025,-59.98717,2017,572,"H33","4VN",6,1000,17,0,9,69,217,5,0,0,300,NA
"100",100,100293085,2,"J17-0202E","2017-07-04 18:00:00",460,329.25,47.022,-59.70183,2017,575,"H33","4VN",6,1000,2,1,5,30,265,0,0,0,300,15
"101",101,100293086,3,"J17-0202E","2017-07-04 19:50:00",520,410.75,47.0065,-59.60483,2017,576,"H33","4VN",6,1000,3,0,1,52,246,1,0,0,300,NA
"102",102,100293089,3,"J17-0202F","2017-07-11 21:50:00",700,376.75,47.2385,-59.63833,2017,570,"H33","4VN",6,1000,19,0,8,68,216,8,0,0,300,NA
"103",103,100293097,2,"J17-0202I","2017-07-20 19:45:00",705,136.75,46.5055,-59.5255,2017,554,"H31","4VN",6,1000,18,7,17,83,195,4,1,0,300,5.71428571428571
"104",104,100293099,1,"S17-0700","2017-06-27 19:27:00",390,194.5,47.18817,-57.99217,2017,598,"H42","3PS",18,960,7,19,1,19,272,4,4,0,300,7.63157894736842
"105",105,100293100,2,"S17-0700","2017-06-28 13:38:00",363,420,46.66933,-58.47017,2017,603,"H43","3PS",18,1000,9,3,2,27,268,3,0,0,300,2
"106",106,100293101,3,"S17-0700","2017-06-28 20:15:00",615,438.5,46.70367,-58.09233,2017,602,"H43","3PS",18,1000,20,2,1,19,275,5,0,0,300,22.5
"107",107,100293102,4,"S17-0700","2017-06-29 14:05:00",392,276.25,46.773,-57.45083,2017,601,"H43","3PS",18,1000,116,0,1,36,218,45,0,0,300,NA
"108",108,100293103,5,"S17-0700","2017-06-29 18:58:00",583,137.25,46.75533,-57.21917,2017,583,"H41","3PS",18,1000,90,8,2,2,262,34,0,0,300,7.125
"109",109,100293104,6,"S17-0700","2017-06-30 17:40:00",607,66,46.7375,-57.17367,2017,584,"H41","3PS",18,1000,59,1,0,19,259,22,0,0,300,8
"110",110,100293109,1,"S17-0701","2017-07-06 13:30:00",360,52.5,45.806,-55.92567,2017,587,"H41","3PS",90,1000,106,24,0,48,196,51,5,0,300,18.2083333333333
"111",111,100293110,2,"S17-0701","2017-07-06 20:10:00",625,49.25,45.57717,-55.71683,2017,588,"H41","3PS",90,1000,216,5,0,27,197,76,0,0,300,7
"112",112,100293111,3,"S17-0701","2017-07-07 13:40:00",370,54.75,45.86717,-56.49033,2017,589,"H41","3PS",90,998,93,1,0,56,211,33,0,0,300,11
"113",113,100293112,4,"S17-0701","2017-07-08 19:10:00",700,428.75,45.653,-57.29233,2017,605,"H43","3PS",90,995,21,3,1,47,249,3,0,0,300,26.6666666666667
"114",114,100293117,1,"S17-0702","2017-07-17 02:10:00",470,171,45.99183,-55.16617,2017,596,"H42","3PS",42,978,1,0,3,45,252,0,0,0,300,NA
"115",115,100293118,2,"S17-0702","2017-07-17 08:45:00",675,72,45.67517,-54.98367,2017,585,"H41","3PS",42,991,22,0,0,57,233,10,0,0,300,NA
"116",116,100293119,3,"S17-0702","2017-07-18 00:00:00",365,206.5,45.04817,-54.70483,2017,597,"H42","3PS",42,973,184,5,0,5,234,59,2,0,300,9.2
"117",117,100293120,4,"S17-0702","2017-07-18 15:15:00",340,455.5,44.848,-55.62367,2017,606,"H43","3PS",42,993,27,18,3,72,212,10,3,0,300,16.0555555555556
"118",118,100293121,5,"S17-0702","2017-07-18 22:30:00",555,122.5,44.964,-55.691,2017,590,"H41","3PS",42,980,13,0,2,34,256,8,0,0,300,NA
"119",119,100293126,1,"S17-0703","2017-07-26 18:35:00",410,60.375,46.78583,-55.47867,2017,581,"H41","3PS",20,1000,10,0,0,167,127,6,0,0,300,NA
"120",120,100293127,2,"S17-0703","2017-07-27 16:36:00",407,116.15,46.51867,-55.16083,2017,595,"H42","3PS",20,1000,11,0,1,107,187,5,0,0,300,NA
"121",121,100293128,1,"S17-0705","2017-07-21 18:00:00",625,305.25,47.25817,-56.94617,2017,599,"H43","3PS",88,975,23,1,1,159,115,24,1,0,300,15
"122",122,100293129,2,"S17-0705","2017-07-22 02:05:00",805,227.25,47.60333,-56.17167,2017,578,"H41","3PS",88,980,33,13,0,51,233,15,1,0,300,8.84615384615385
"123",123,100293130,3,"S17-0705","2017-07-22 17:00:00",420,370.5,47.22467,-56.7785,2017,600,"H43","3PS",88,990,21,0,0,148,142,10,0,0,300,NA
"124",124,100293131,4,"S17-0705","2017-07-22 23:10:00",590,138.5,47.22283,-56.18467,2017,582,"H41","3PS",88,995,10,0,0,195,100,5,0,0,300,NA
"125",125,100293132,5,"S17-0705","2017-07-23 13:30:00",355,224,47.299,-55.512,2017,592,"H42","3PS",88,990,5,0,3,285,8,4,0,0,300,NA
"126",126,100293133,1,"S17-0708","2017-07-28 16:30:00",420,140.25,46.659,-55.27533,2017,594,"H42","3PS",20,1000,7,0,0,82,217,1,0,0,300,NA
"127",127,100293134,2,"S17-0708","2017-07-29 18:00:00",390,61.75,46.35667,-56.56233,2017,586,"H41","3PS",20,1000,55,0,1,4,268,27,0,0,300,NA
"128",128,100293270,1,"S17-0704","2017-07-19 17:30:00",470,86,45.502,-52.40283,2017,622,"H51","3OB",1,1000,25,1,4,254,20,21,1,0,300,10
"129",129,100293271,2,"S17-0704","2017-07-19 23:55:00",585,79.25,45.3915,-51.88067,2017,621,"H51","3OB",1,997,24,0,0,285,9,6,0,0,300,NA
"130",130,100293272,3,"S17-0704","2017-07-20 19:30:00",395,75,45.25617,-53.41067,2017,631,"H51","3OA",1,1000,112,6,4,205,52,36,3,0,300,16.3333333333333
"131",131,100293273,4,"S17-0704","2017-07-21 00:35:00",635,74,45.24267,-53.48917,2017,632,"H51","3OA",1,1000,115,17,50,170,68,7,5,0,300,11.7058823529412
"132",132,100293274,5,"S17-0704","2017-07-21 16:50:00",525,76.5,45.13783,-53.608,2017,638,"H51","3OA",1,1000,109,10,2,35,175,55,3,0,270,13
"133",133,100293275,6,"S17-0704","2017-07-21 23:15:00",675,104,45.56583,-53.74517,2017,627,"H51","3OA",1,1000,5,0,15,264,17,4,0,0,300,NA
"134",134,100293276,7,"S17-0704","2017-07-22 14:30:00",410,118,45.30833,-54.47133,2017,642,"H51","3OA",1,1000,30,0,0,239,45,16,0,0,300,NA
"135",135,100293277,1,"S17-0706","2017-07-28 14:15:00",470,692.25,45.37383,-48.67767,2017,648,"H53","3NB",87,990,138,4,1,50,199,50,0,0,300,18.5
"136",136,100293278,2,"S17-0706","2017-07-28 22:30:00",745,100.5,45.61467,-48.52933,2017,607,"H51","3NB",87,1000,1,0,2,29,269,0,0,0,300,NA
"137",137,100293279,3,"S17-0706","2017-07-29 14:45:00",555,80,45.4445,-49.01267,2017,609,"H51","3NA",87,994,1,0,0,99,200,1,0,0,300,NA
"138",138,100293280,4,"S17-0706","2017-07-29 21:20:00",695,63.5,45.8585,-49.17117,2017,608,"H51","3NA",87,997,0,0,1,53,246,0,0,0,300,NA
"139",139,100293281,5,"S17-0706","2017-07-30 12:40:00",395,67.5,45.838,-49.819,2017,610,"H51","3NA",87,995,2,0,0,132,167,1,0,0,300,NA
"140",140,100293283,7,"S17-0706","2017-07-31 14:15:00",365,67,45.52367,-49.99483,2017,611,"H51","3NA",87,987,2,0,0,276,24,0,0,0,300,NA
"141",141,100293285,9,"S17-0706","2017-08-01 14:00:00",465,65,45.18183,-50.21717,2017,616,"H51","3NA",87,988,15,3,0,76,214,10,0,0,300,14.6666666666667
"142",142,100293286,10,"S17-0706","2017-08-01 18:35:00",650,64.5,45.28567,-50.07617,2017,615,"H51","3NA",87,994,13,0,1,86,206,6,1,0,300,NA
"143",143,100293287,11,"S17-0706","2017-08-02 14:15:00",435,67.5,45.15417,-49.53567,2017,614,"H51","3NA",87,1000,0,0,0,165,135,0,0,0,300,NA
"144",144,100293288,12,"S17-0706","2017-08-02 18:15:00",615,68,45.207,-49.47183,2017,612,"H51","3NA",87,990,0,0,1,190,109,0,0,0,300,NA
"145",145,100293289,13,"S17-0706","2017-08-03 11:55:00",415,69,45.099,-49.3275,2017,613,"H51","3NA",87,1000,0,0,0,123,177,0,0,0,300,NA
"146",146,100293830,1,"S17-0715A","2017-08-11 16:06:00",396,64.25,47.3975,-54.01417,2017,591,"H42","3PS",21,1000,8,0,0,214,86,0,0,0,300,NA
"147",147,100293832,1,"S17-0715B","2017-08-19 22:47:00",457,131.75,46.7445,-54.5195,2017,580,"H41","3PS",21,1000,1,0,0,239,60,1,0,0,300,NA
"148",148,100293833,1,"S17-0715C","2017-08-22 16:55:00",395,80,46.70417,-54.36533,2017,579,"H41","3PS",21,1000,11,0,1,172,122,5,0,0,300,NA
"149",149,100293834,1,"S17-0715D","2017-08-28 17:19:00",421,174.5,46.7215,-54.62333,2017,593,"H42","3PS",21,1000,2,0,0,221,77,2,0,0,300,NA
"150",150,100304652,3,"J18-0169A","2018-06-15 22:00:00",600,80,44.42017,-57.5545,2018,561,"H31","4VC",70,1000,165,4,0,125,129,45,0,0,299,10
"151",151,100304661,12,"J18-0169A","2018-06-17 19:45:00",642,412.25,44.613,-56.8645,2018,577,"H33","4VC",70,1000,9,25,0,85,195,3,15,2,300,23.6
"152",152,100304675,26,"J18-0169A","2018-06-20 19:34:00",593,419.5,45.06667,-56.73883,2018,574,"H33","4VC",70,1000,57,6,0,92,177,26,2,3,300,29.1666666666667
"153",153,100305030,1,"J18-0181","2018-06-21 19:50:00",710,92,44.07017,-64.22883,2018,505,"H11","4XM",67,1000,6,5,0,66,232,1,0,0,299,17.8
"154",154,100305037,8,"J18-0181","2018-06-22 22:05:00",640,92.5,44.46917,-63.12967,2018,540,"H21","4WK",67,1000,18,4,0,129,49,1,1,0,180,24.5
"155",155,100305041,12,"J18-0181","2018-06-24 14:40:00",395,137.5,45.14367,-60.02417,2018,530,"H21","4WD",67,1000,6,2,0,133,161,5,0,1,300,15
"156",156,100305043,14,"J18-0181","2018-06-24 21:30:00",595,167.75,45.46033,-60.15683,2018,545,"H22","4WD",67,1000,1,9,0,201,98,0,1,0,300,22.8888888888889
"157",157,100305048,19,"J18-0181","2018-06-26 20:10:00",575,103.5,45.8105,-59.6735,2018,557,"H31","4VN",67,1000,0,2,1,52,247,0,0,0,300,32
