"","X","FISHSET_ID","SET_NO","TRIP","DATE_TIME3","SOAKMINP3P1","DEPTH","LATITUDE","LONGITUDE","YEAR","STATION","STRATUM_ID","NAFAREA_ID","Vess_fact","NUM_HOOK_HAUL","total_other_species","total_target_species","avg_weight"
"32",32,581261,3,"J98-0158","1998-07-19 14:40:00",43566,149.5,43.06717,-63.13683,1998,83,"2","4WL",12,980,83,0,NA
"33",33,581263,5,"J98-0158","1998-07-20 14:45:00",43568,453,42.89583,-62.3365,1998,146,"3","4WL",12,980,31,0,NA
"34",34,581278,16,"J98-0040","1998-06-02 15:18:00",408,393.75,44.6,-56.63333,1998,128,"3","4VS",11,1000,10,8,19
"35",35,581280,18,"J98-0040","1998-06-02 22:23:00",683,400.75,44.61667,-56.88333,1998,161,"3","4VS",11,1000,7,3,15.3333333333333
"36",36,581285,1,"J98-0040","1998-05-29 15:40:00",450,227.5,44.23333,-58.15,1998,160,"3","4VS",11,1000,64,17,14.1176470588235
"37",37,581286,2,"J98-0040","1998-05-29 19:25:00",577,344.75,44.26667,-57.91667,1998,176,"3","4VS",11,1000,72,10,10.8
"38",38,581287,3,"J98-0040","1998-05-29 23:16:00",703,441.75,44.33333,-57.66667,1998,98,"2","4VS",11,1000,2,5,12
"39",39,581298,40,"J98-0040","1998-06-09 20:31:00",559,64,44.56667,-58.43333,1998,70,"1","4VS",11,1000,0,0,NA
"40",40,581299,39,"J98-0040","1998-06-09 18:02:00",468,122.25,44.75,-58.61667,1998,149,"3","4VS",11,1000,5,0,NA
"41",41,581502,12,"J98-0157","1998-06-21 14:02:00",266,452,43.40883,-60.434,1998,124,"3","4WG",19,1000,87,5,12.8
"42",42,581505,3,"J98-0157","1998-06-20 15:14:00",364,100.75,44.0395,-61.6115,1998,153,"3","4WH",19,1000,1,5,7
"43",43,581516,1,"J98-0157","1998-06-19 18:30:00",370,128.5,44.487,-62.77733,1998,135,"3","4WK",19,1000,26,0,NA
"44",44,581518,17,"J98-0157","1998-06-23 14:57:00",417,96.25,43.27883,-62.4705,1998,139,"3","4WL",19,780,30,24,10.0416666666667
"45",45,581522,1,"J98-0097B","1998-06-19 18:19:00",456,67.25,45.83333,-59.63333,1998,183,"1","4VN",2,1000,26,0,NA
"46",46,581523,2,"J98-0097B","1998-06-19 22:29:00",583,67,46.05,-59.5,1998,182,"1","4VN",2,1000,49,0,NA
"47",47,581524,3,"J98-0097B","1998-06-20 14:17:00",377,357.75,46.16667,-58.56667,1998,190,"3","4VN",2,1000,14,2,12
"48",48,581525,4,"J98-0097B","1998-06-20 16:14:00",400,333,46.16667,-58.65,1998,189,"3","4VN",2,1000,8,1,29
"49",49,581526,5,"J98-0097B","1998-06-20 21:01:00",550,431,46.41667,-58.56667,1998,185,"2","4VN",2,1000,15,0,NA
"50",50,581527,6,"J98-0097B","1998-06-21 14:06:00",366,66.5,46.33333,-59.78333,1998,188,"2","4VN",2,1000,10,0,NA
"51",51,581529,8,"J98-0097B","1998-06-21 18:18:00",492,58.25,46.43333,-59.85,1998,184,"1","4VN",2,1000,13,0,NA
"52",52,581530,9,"J98-0097B","1998-06-21 20:42:00",539,98.75,46.46117,-60.08333,1998,181,"1","4VN",2,1000,13,0,NA
"53",53,581531,10,"J98-0097B","1998-06-22 14:43:00",394,161.25,46.2,-58.9,1998,187,"2","4VN",2,1000,7,0,NA
"54",54,581532,11,"J98-0097B","1998-06-22 17:48:00",456,140.75,45.98333,-58.75,1998,186,"2","4VN",2,1000,10,0,NA
"55",55,581533,12,"J98-0097B","1998-06-22 21:13:00",496,94,46.01667,-59.13333,1998,180,"1","4VN",2,1000,27,0,NA
"56",56,582208,1,"J98-0038B","1998-06-18 16:25:00",300,167,44.11933,-63.24083,1998,69,"1","4WK",24,1000,44,0,NA
"57",57,582210,3,"J98-0038B","1998-06-18 21:10:00",476,129.25,44.303,-63.13517,1998,97,"2","4WK",24,1000,25,0,NA
"58",58,582220,13,"J98-0038B","1998-06-21 19:40:00",538,621.75,42.77,-62.7555,1998,144,"3","4WL",24,1125,12,6,18.3333333333333
"59",59,582280,11,"J98-0109A","1998-06-10 00:06:00",728,130,42.58333,-64.63333,1998,21,"1","4XN",33,1000,42,0,NA
"60",60,582282,1,"J98-0109A","1998-06-07 15:42:00",434,154.25,42.86667,-66.16667,1998,276,"1","4XO",33,500,48,0,NA
"61",61,582283,6,"J98-0109A","1998-06-08 18:13:00",579,122.25,42.85,-65.71667,1998,303,"2","4XO",33,1000,140,0,NA
"62",62,582284,7,"J98-0109A","1998-06-08 22:41:00",725,137.75,42.86667,-65.48333,1998,38,"2","4XO",33,1000,46,0,NA
"63",63,582286,3,"J98-0109A","1998-06-07 22:10:00",612,96.25,42.57867,-66.092,1998,9,"1","4XP",33,500,46,0,NA
"64",64,582289,1,"J98-0109B","1998-06-22 15:09:00",427,121.5,42.71667,-64.63333,1998,52,"2","4XN",33,1000,25,0,NA
"65",65,582295,7,"J98-0109B","1998-06-23 19:39:00",657,123.5,42.6,-64.75,1998,26,"1","4XN",33,1000,46,13,5.53846153846154
"66",66,582299,11,"J98-0109B","1998-06-24 16:40:00",536,94.75,42.68333,-65.45,1998,51,"2","4XN",33,1000,40,1,6
"67",67,582305,17,"J98-0109B","1998-06-26 19:22:00",793,96.5,42.6825,-65.36667,1998,50,"2","4XN",33,1000,37,1,10
"68",68,582317,35,"J98-0107B","1998-06-23 01:08:00",713,356,42.448,-64.72667,1998,43,"2","4XN",3,1200,75,7,19.2857142857143
"69",69,582325,17,"J98-0107B","1998-06-19 10:10:00",198,311.5,42.34217,-66.67233,1998,378,"1","4XP",3,150,2,0,NA
"70",70,582326,18,"J98-0107B","1998-06-19 14:15:00",104,263.75,42.34133,-66.38817,1998,380,"1","4XP",3,150,0,0,NA
"71",71,582327,12,"J98-0107B","1998-06-18 02:00:00",64,84,43.77217,-66.49933,1998,298,"1","4XQ",3,150,32,0,NA
"72",72,582328,14,"J98-0107B","1998-06-18 15:10:00",102,88.75,43.3715,-66.487,1998,274,"1","4XQ",3,150,50,0,NA
"73",73,582329,13,"J98-0107B","1998-06-18 09:53:00",306,136,43.685,-66.86233,1998,297,"1","4XQ",3,150,47,0,NA
"74",74,582330,15,"J98-0107B","1998-06-18 19:08:00",113,95.5,43.25933,-66.25367,1998,278,"2","4XQ",3,150,23,0,NA
"75",75,582331,16,"J98-0107B","1998-06-18 23:10:00",69,108,43.12617,-66.59783,1998,277,"2","4XQ",3,150,44,0,NA
"76",76,582332,10,"J98-0107B","1998-06-17 17:05:00",70,125.25,44.23117,-66.58967,1998,295,"1","4XR",3,150,79,0,NA
"77",77,582333,11,"J98-0107B","1998-06-17 21:05:00",149,99.25,44.13783,-66.62633,1998,296,"1","4XR",3,150,53,0,NA
"78",78,582334,9,"J98-0107B","1998-06-17 12:42:00",112,109,44.42717,-66.67167,1998,294,"1","4XS",3,150,78,0,NA
"79",79,582335,1,"J98-0107B","1998-06-16 17:15:00",455,113,44.8625,-66.1045,1998,293,"1","4XS",3,600,130,0,NA
"80",80,582337,3,"J98-0107B","1998-06-16 21:39:00",639,111,44.97017,-66.08283,1998,291,"1","4XS",3,600,220,0,NA
"81",81,582339,5,"J98-0107B","1998-06-17 01:10:00",712,90,44.93383,-66.44983,1998,290,"1","4XS",3,600,203,0,NA
"82",82,582341,7,"J98-0107B","1998-06-17 05:00:00",852,152.75,44.80117,-66.44917,1998,292,"1","4XS",3,600,208,0,NA
"83",83,582343,4,"J98-0107A","1998-06-03 07:45:00",969,559,41.91667,-65.67483,1998,387,"3","4XU",3,1050,67,0,NA
"84",84,582344,1,"J98-0107A","1998-06-02 19:32:00",612,105,42.334,-65.45833,1998,4,"1","4XN",3,1050,31,0,NA
"85",85,582345,2,"J98-0107A","1998-06-02 23:40:00",700,457,42.102,-65.47367,1998,55,"2","4XN",3,450,42,3,16.6666666666667
"86",86,582346,5,"J98-0107A","1998-06-03 13:50:00",490,863.5,42.04983,-65.51633,1998,46,"2","4XN",3,600,2,4,12
"87",87,582348,3,"J98-0107A","1998-06-03 01:30:00",788,463.75,42.11767,-65.45283,1998,56,"2","4XN",3,600,31,1,7
"88",88,583063,7,"J98-0126A","1998-07-05 14:13:00",355,83.25,44.5425,-60.92167,1998,90,"2","4WE",7,1000,3,0,NA
"89",89,583064,8,"J98-0126A","1998-07-05 16:35:00",413,68,44.61817,-60.875,1998,99,"2","4WE",7,1000,12,0,NA
"90",90,583065,9,"J98-0126A","1998-07-05 18:45:00",422,108.5,44.602,-60.98717,1998,86,"2","4WE",7,1000,5,0,NA
"91",91,583066,6,"J98-0126A","1998-07-04 19:21:00",461,116,43.88333,-62.152,1998,140,"3","4WH",7,1000,4,7,15.8571428571429
"92",92,583067,5,"J98-0126A","1998-07-04 14:48:00",388,94.25,43.545,-62.02233,1998,126,"3","4WJ",7,1000,19,1,9
"93",93,583068,4,"J98-0126A","1998-07-04 00:17:00",638,230.5,44.051,-62.97467,1998,65,"1","4WK",7,1000,20,2,11.5
"94",94,583069,1,"J98-0126A","1998-07-02 21:35:00",700,252.5,43.62817,-63.0235,1998,154,"3","4WL",7,1000,9,0,NA
"95",95,583070,2,"J98-0126A","1998-07-03 01:43:00",779,99,43.36317,-62.77317,1998,170,"3","4WL",7,1000,60,34,19.1176470588235
"96",96,583071,3,"J98-0126A","1998-07-03 06:37:00",887,162.5,43.31783,-63.18583,1998,92,"2","4WL",7,1000,71,2,9.5
"97",97,583128,1,"J98-0110C","1998-07-03 17:35:00",380,577.25,42.76667,-63.79417,1998,62,"3","4XN",13,1000,36,1,10
"98",98,583132,2,"J98-0110C","1998-07-03 23:25:00",625,612.25,42.76167,-63.51083,1998,61,"3","4XN",13,1000,37,3,17
"99",99,583135,3,"J98-0110B","1998-06-20 03:15:00",820,183.5,44.01083,-63.60167,1998,8,"1","4XM",13,1000,26,0,NA
"100",100,583136,4,"J98-0110B","1998-06-20 18:15:00",480,159,43.845,-64.19667,1998,48,"2","4XM",13,1000,31,0,NA
"101",101,583137,6,"J98-0110B","1998-06-20 22:00:00",590,116.5,43.98417,-64.25083,1998,310,"1","4XM",13,1000,38,0,NA
"102",102,583152,19,"J98-0110B","1998-06-24 15:00:00",390,118.5,43.54333,-64.63333,1998,42,"2","4XO",13,1000,51,1,5
"103",103,583153,1,"J98-0110A","1998-06-07 16:45:00",505,94,43.155,-64.0025,1998,45,"2","4XN",13,1000,46,5,31.2
"104",104,583154,2,"J98-0110A","1998-06-07 22:00:00",695,133,43.12833,-63.67583,1998,54,"2","4XN",13,1000,105,5,8.4
"105",105,583159,7,"J98-0110A","1998-06-09 16:45:00",505,113.5,42.83667,-64.1575,1998,306,"2","4XN",13,1000,31,15,7.33333333333333
"106",106,583161,9,"J98-0110A","1998-06-10 16:15:00",495,95.5,43.3575,-64.18833,1998,58,"2","4XN",13,1000,47,18,12.7777777777778
"107",107,583162,10,"J98-0110A","1998-06-10 21:45:00",710,129,43.40917,-63.90083,1998,53,"2","4XN",13,1000,51,31,9.51612903225806
"108",108,583166,14,"J98-0110A","1998-06-12 15:30:00",400,89,43.39,-64.5525,1998,3,"1","4XO",13,1000,229,0,NA
"109",109,583528,18,"J98-0126B","1998-07-11 19:24:00",411,111,43.076,-62.17433,1998,157,"3","4WJ",7,1000,10,1,9
"110",110,583529,17,"J98-0126B","1998-07-11 16:17:00",357,354.75,42.938,-61.89217,1998,167,"3","4WJ",7,1000,53,7,10.7142857142857
"111",111,583592,13,"J98-0126C","1998-07-16 16:22:00",420,117,43.3615,-60.886,1998,73,"2","4WJ",7,1000,13,0,NA
"112",112,583848,1,"J98-0123A","1998-06-20 06:15:00",1325,232.75,42.628,-66.83817,1998,269,"1","4XP",16,1000,21,0,NA
"113",113,583849,2,"J98-0123A","1998-06-20 03:30:00",1055,231.25,42.55633,-66.68767,1998,270,"1","4XP",16,1000,261,1,17
"114",114,583850,3,"J98-0123A","1998-06-19 17:20:00",360,348.25,42.44317,-66.849,1998,302,"2","4XP",16,1000,55,0,NA
"115",115,583851,4,"J98-0123A","1998-06-19 19:55:00",435,365.75,42.4,-66.98667,1998,267,"1","4XP",16,1000,69,0,NA
"116",116,583852,5,"J98-0123A","1998-06-19 22:20:00",525,365.75,42.38533,-67.1425,1998,266,"1","4XP",16,1000,29,0,NA
"117",117,583853,6,"J98-0123A","1998-06-20 18:20:00",460,322,42.5145,-67.31117,1998,301,"1","4XP",16,1000,12,0,NA
"118",118,583854,7,"J98-0123A","1998-06-20 21:30:00",540,211.5,42.71183,-67.24783,1998,300,"1","4XP",16,1000,56,0,NA
"119",119,583855,13,"J98-0123A","1998-06-21 20:25:00",400,216.25,42.93933,-66.97967,1998,272,"1","4XP",16,1000,524,0,NA
"120",120,583856,8,"J98-0123A","1998-06-21 00:05:00",625,198.75,42.81583,-67.42983,1998,299,"1","4XP",16,1000,149,0,NA
"121",121,583857,9,"J98-0123A","1998-06-21 03:30:00",705,261.25,42.81133,-67.122,1998,279,"2","4XP",16,1000,128,0,NA
"122",122,583858,10,"J98-0123A","1998-06-21 15:00:00",415,207.75,43.06633,-67.317,1998,268,"1","4XQ",16,1000,339,0,NA
"123",123,583859,14,"J98-0123A","1998-06-22 04:40:00",100,193.25,43.268,-66.86767,1998,265,"1","4XQ",16,200,264,0,NA
"124",124,583860,11,"J98-0123A","1998-06-21 18:00:00",480,198.75,43.01717,-67.064,1998,273,"1","4XQ",16,1000,322,0,NA
"125",125,583861,12,"J98-0123A","1998-06-21 23:10:00",715,170.5,43.06883,-66.85217,1998,275,"1","4XQ",16,1000,522,0,NA
"126",126,584249,16,"J98-0178","1998-07-19 23:01:00",717,255.5,44.41667,-57.28333,1998,284,"3","4VS",29,980,199,7,8.57142857142857
"127",127,584282,1,"J98-0176A","1998-07-09 18:10:00",607,105.75,45.37917,-58.84083,1998,63,"1","4VS",9,945,8,0,NA
"128",128,584283,2,"J98-0176A","1998-07-09 21:50:00",724,95.75,45.33917,-59.1575,1998,71,"1","4VS",9,945,5,0,NA
"129",129,584284,3,"J98-0176A","1998-07-10 13:20:00",1554,93.25,45.17167,-59.28167,1998,173,"3","4VS",9,945,7,0,NA
"130",130,584285,4,"J98-0176A","1998-07-11 15:19:00",376,208,44.81667,-59.955,1998,164,"3","4VS",9,945,18,0,NA
"131",131,584286,5,"J98-0176A","1998-07-11 19:10:00",483,145.5,44.76167,-59.70333,1998,148,"3","4VS",9,945,9,0,NA
"132",132,584287,6,"J98-0176A","1998-07-11 21:10:00",581,192.5,44.78833,-59.67917,1998,95,"2","4VS",9,945,16,0,NA
"133",133,584309,20,"J98-0176B","1998-07-21 21:47:00",423,134.25,44.40667,-59.68167,1998,88,"2","4VS",9,945,15,4,10.5
"134",134,584311,18,"J98-0176B","1998-07-21 16:39:00",234,113,44.27,-59.75583,1998,174,"3","4VS",9,945,4,0,NA
"135",135,584339,25,"J98-0135","1998-07-18 14:02:00",359,192,44.18417,-60.2375,1998,151,"3","4WE",28,1000,5,0,NA
"136",136,584341,27,"J98-0135","1998-07-18 20:13:00",521,56.5,44.14667,-60.63,1998,169,"3","4WF",28,1000,0,0,NA
"137",137,584361,5,"J98-0135","1998-07-10 23:20:00",761,509.75,42.785,-63.10167,1998,123,"3","4WL",28,1000,11,20,15.15
"138",138,584362,6,"J98-0135","1998-07-10 20:30:00",555,525.5,42.78917,-63.01583,1998,159,"3","4WL",28,1000,6,3,14.6666666666667
"139",139,584363,1,"J98-0135","1998-07-08 17:45:00",582,76.75,43.63333,-64.89417,1998,309,"2","4XO",28,1000,19,0,NA
"140",140,584364,29,"J98-0135","1998-07-20 18:02:00",533,164.5,43.17083,-65.15167,1998,49,"2","4XO",28,1000,12,0,NA
"141",141,584365,31,"J98-0135","1998-07-21 01:45:00",733,130,43.16667,-64.85333,1998,33,"2","4XO",28,1000,274,0,NA
"142",142,584366,30,"J98-0135","1998-07-20 21:08:00",625,143.5,43.03583,-65.25583,1998,37,"2","4XO",28,1000,229,0,NA
"143",143,584367,28,"J98-0135","1998-07-20 15:31:00",450,129,43.2925,-64.9825,1998,305,"2","4XO",28,1000,29,0,NA
"144",144,584368,2,"J98-0135","1998-07-08 22:22:00",705,54.5,43.4275,-65.38,1998,308,"2","4XO",28,1000,62,0,NA
"145",145,584369,3,"J98-0135","1998-07-09 01:15:00",783,93.25,43.25167,-65.38,1998,304,"2","4XO",28,1000,33,0,NA
"146",146,584428,1,"J98-0181","1998-07-16 16:14:00",366,435,44.94367,-57.18433,1998,152,"3","4VS",32,980,7,0,NA
"147",147,584443,16,"J98-0181","1998-07-19 19:30:00",472,423.5,44.854,-56.75117,1998,75,"2","4VS",32,980,8,1,7
"148",148,584444,17,"J98-0181","1998-07-19 21:55:00",566,418,44.74783,-56.7515,1998,150,"3","4VS",32,980,10,2,23
"149",149,584445,18,"J98-0181","1998-07-20 00:53:00",660,408,44.65033,-56.958,1998,137,"3","4VS",32,980,10,2,9.5
"150",150,584452,25,"J98-0181","1998-07-21 00:37:00",603,92.5,44.278,-58.25833,1998,168,"3","4VS",32,980,0,0,NA
"151",151,584455,28,"J98-0181","1998-07-21 23:35:00",728,654.5,43.99617,-58.53233,1998,130,"3","4VS",32,980,17,2,9
"152",152,584456,29,"J98-0181","1998-07-22 16:58:00",483,221,44.82383,-58.84917,1998,175,"3","4VS",32,980,14,0,NA
"153",153,584457,30,"J98-0181","1998-07-22 18:42:00",543,132.5,44.74,-58.81517,1998,163,"3","4VS",32,980,0,0,NA
"154",154,584594,4,"J98-0162B","1998-07-10 15:15:00",425,134.5,44.14117,-61.8445,1998,91,"2","4WH",2,990,2,2,5.5
"155",155,584603,5,"J98-0162B","1998-07-10 19:25:00",581,96,43.95917,-61.84583,1998,162,"3","4WH",2,990,1,1,9
"156",156,584605,2,"J98-0162B","1998-07-08 23:15:00",530,167,44.27933,-63.184,1998,77,"2","4WK",2,990,186,1,13
"157",157,584607,6,"J98-0162B","1998-07-11 15:25:00",422,84,43.48033,-62.42283,1998,76,"2","4WL",2,990,109,10,19.5
"158",158,584608,7,"J98-0162B","1998-07-11 21:25:00",611,134,43.73383,-62.20317,1998,101,"2","4WL",2,990,6,3,11.3333333333333
"159",159,584609,8,"J98-0162B","1998-07-12 14:35:00",383,142.25,43.64083,-62.7255,1998,121,"3","4WL",2,990,17,0,NA
"160",160,584614,1,"J98-0174","1998-07-04 13:05:00",296,240.5,44.393,-57.29033,1998,285,"3","4VS",29,1260,335,3,9
"161",161,584618,5,"J98-0174","1998-07-05 16:44:00",374,118.25,44.10133,-58.48967,1998,138,"3","4VS",29,980,0,0,NA
"162",162,584619,18,"J98-0174","1998-07-09 14:18:00",360,155.5,44.23867,-59.04083,1998,129,"3","4VS",29,980,0,1,16
"163",163,584620,20,"J98-0174","1998-07-09 18:30:00",473,213.5,44.27217,-59.36133,1998,166,"3","4VS",29,980,0,8,8.125
"164",164,584621,19,"J98-0174","1998-07-09 16:25:00",414,153,44.20183,-59.213,1998,122,"3","4VS",29,980,0,1,20
"165",165,584623,14,"J98-0174","1998-07-08 15:20:00",346,61.25,43.772,-59.71083,1998,78,"2","4WF",29,980,0,0,NA
"166",166,584625,16,"J98-0174","1998-07-08 16:45:00",307,92.5,43.73583,-59.4785,1998,131,"3","4WG",29,980,0,0,NA
"167",167,584626,15,"J98-0174","1998-07-08 17:38:00",418,294.5,43.64417,-59.52817,1998,96,"2","4WG",29,980,49,0,NA
"168",168,584627,17,"J98-0174","1998-07-08 19:08:00",390,57,43.84983,-59.40833,1998,136,"3","4WG",29,980,0,0,NA
"169",169,584629,9,"J98-0174","1998-07-06 19:30:00",596,325.5,44.12967,-59.19983,1998,85,"2","4WG",29,980,6,2,5
"170",170,585006,6,"J98-0172","1998-07-02 12:40:00",276,410.5,44.6775,-56.80517,1998,165,"3","4VS",27,1040,13,1,7
"171",171,585018,18,"J98-0172","1998-07-04 15:05:00",410,427.5,44.57883,-56.64817,1998,147,"3","4VS",27,1040,22,2,66.5
"172",172,585019,19,"J98-0172","1998-07-04 17:10:00",515,406.75,44.591,-56.60217,1998,179,"3","4VS",27,1040,25,5,36
"173",173,585020,20,"J98-0172","1998-07-04 19:53:00",658,379.25,44.608,-56.5595,1998,72,"3","4VS",27,1040,46,5,25.4
"174",174,585103,5,"J98-0168","1998-06-28 00:30:00",600,79,43.33333,-61.38333,1998,93,"2","4WJ",35,1000,4,0,NA
"175",175,585109,1,"J98-0168","1998-06-26 22:00:00",840,559.75,42.78267,-63.05233,1998,132,"3","4WL",35,1000,10,4,9.5
"176",176,5639803,3,"J99-0117","1999-05-27 13:42:00",338,57,44.5355,-50.3875,1999,230,"3","3N",39,1000,235,14,35.4285714285714
"177",177,5639804,4,"J99-0117","1999-05-27 18:00:00",546,57,44.70383,-50.44133,1999,213,"3","3N",39,1000,218,7,36.8571428571429
"178",178,5639805,5,"J99-0117","1999-05-27 22:10:00",707,57,44.574,-50.34717,1999,212,"3","3N",39,1000,224,19,17.7368421052632
"179",179,5639809,12,"J99-0117","1999-05-31 14:15:00",356,385.75,43.56917,-52.00967,1999,214,"3","3O",39,1000,321,15,12.0666666666667
"180",180,5639812,15,"J99-0117","1999-06-01 14:08:00",363,369.5,43.675,-52.141,1999,229,"3","3O",39,1000,355,9,17.4444444444444
"181",181,5639813,23,"J99-0117","1999-06-03 16:22:00",388,287.25,44.3565,-53.05867,1999,204,"2","3O",39,1000,51,6,12.6666666666667
"182",182,5639818,18,"J99-0117","1999-06-02 13:40:00",340,512.5,43.858,-52.46717,1999,216,"3","3O",39,1000,342,3,11.3333333333333
"183",183,5639819,17,"J99-0117","1999-06-01 21:07:00",718,307.5,43.73483,-52.2315,1999,231,"3","3O",39,1000,375,15,15.7333333333333
"184",184,5639823,7,"J99-0117","1999-05-29 13:20:00",484,82.25,43.752,-51.58383,1999,223,"2","3O",39,1000,548,4,9.75
"185",185,5640183,7,"J99-0153","1999-06-07 21:13:00",611,184,43.67017,-62.79617,1999,141,"3","4WL",13,1000,58,0,NA
"186",186,5640184,1,"J99-0153","1999-06-05 15:27:00",436,89.25,43.174,-64.25917,1999,25,"1","4XN",13,1000,42,1,9
"187",187,5640185,2,"J99-0153","1999-06-05 19:26:00",597,92.25,43.101,-64.104,1999,39,"2","4XN",13,1000,65,0,NA
"188",188,5640186,8,"J99-0153","1999-06-08 16:55:00",535,122.25,43.14117,-63.71683,1999,54,"2","4XN",13,1000,247,1,7
"189",189,5640187,10,"J99-0153","1999-06-09 16:56:00",531,158.75,43.32383,-63.765,1999,22,"1","4XN",13,1000,136,4,7.5
"190",190,5640188,12,"J99-0153","1999-06-10 00:56:00",824,97,43.358,-64.17683,1999,58,"2","4XN",13,1000,58,2,17
"191",191,5640189,11,"J99-0153","1999-06-09 20:13:00",683,129.25,43.35617,-63.84783,1999,53,"2","4XN",13,1000,125,2,7.5
"192",192,5640190,9,"J99-0153","1999-06-08 20:35:00",665,95.75,43.14233,-63.91117,1999,45,"2","4XN",13,1000,64,1,34
"193",193,5640191,3,"J99-0153","1999-06-05 22:49:00",735,98.5,43.03817,-63.99267,1999,41,"2","4XN",13,1000,148,3,10
